t_sec,connected,armed,mode,pose_count,planner_cmd_count,safe_cmd_count,nearest_obstacle_m,safety_event_count,goal_reached
1.015,False,False,,0,20,20,inf,0,False
2.015,True,False,CMODE(50593792),0,40,40,inf,0,False
3.015,True,True,OFFBOARD,0,60,60,inf,0,False
4.015,True,True,OFFBOARD,0,80,80,inf,0,False
5.015,True,True,OFFBOARD,0,100,100,inf,0,False
6.015,True,True,OFFBOARD,0,120,120,inf,0,False
7.015,True,True,OFFBOARD,0,140,140,inf,0,False
8.015,True,True,OFFBOARD,0,160,160,inf,0,False
9.015,True,True,OFFBOARD,0,180,180,inf,0,False
10.015,True,True,OFFBOARD,0,200,200,inf,0,False
11.017,True,True,OFFBOARD,0,220,220,inf,0,False
12.015,True,True,OFFBOARD,0,240,240,inf,0,False
13.015,True,False,OFFBOARD,0,260,260,inf,0,False
14.015,True,False,OFFBOARD,0,280,280,inf,0,False
15.015,True,False,OFFBOARD,0,300,300,inf,0,False
16.015,True,False,OFFBOARD,0,320,320,inf,0,False
17.015,True,False,OFFBOARD,0,340,340,inf,0,False
18.018,True,False,OFFBOARD,0,360,360,inf,0,False
19.017,True,False,OFFBOARD,0,380,380,inf,0,False
20.015,True,False,OFFBOARD,0,400,400,inf,0,False
21.015,True,False,OFFBOARD,0,420,420,inf,0,False
22.015,True,False,OFFBOARD,0,440,440,inf,0,False
23.015,True,False,OFFBOARD,0,460,460,inf,0,False
24.017,True,False,OFFBOARD,0,480,480,inf,0,False
25.016,True,False,OFFBOARD,0,500,500,inf,0,False
26.015,True,False,OFFBOARD,0,520,520,inf,0,False
27.015,True,False,OFFBOARD,0,540,540,inf,0,False
28.015,True,False,OFFBOARD,0,560,560,inf,0,False
29.016,True,False,OFFBOARD,0,580,580,inf,0,False
30.016,True,False,OFFBOARD,0,600,600,inf,0,False
31.018,True,False,OFFBOARD,0,620,620,inf,0,False
32.015,True,False,OFFBOARD,0,640,640,inf,0,False
33.015,True,False,OFFBOARD,0,660,660,inf,0,False
34.015,True,False,OFFBOARD,0,680,680,inf,0,False
35.017,True,False,OFFBOARD,0,700,700,inf,0,False
36.015,True,False,OFFBOARD,0,720,720,inf,0,False
37.015,True,False,OFFBOARD,0,740,740,inf,0,False
38.017,True,False,OFFBOARD,0,760,760,inf,0,False
39.015,True,False,OFFBOARD,0,780,780,inf,0,False
40.015,True,False,OFFBOARD,0,800,800,inf,0,False
41.015,True,False,OFFBOARD,0,820,820,inf,0,False
42.019,True,False,OFFBOARD,0,840,840,inf,0,False
43.015,True,False,OFFBOARD,0,860,860,inf,0,False
44.015,True,False,OFFBOARD,0,880,880,inf,0,False
45.015,True,False,OFFBOARD,0,900,900,inf,0,False
46.015,True,False,OFFBOARD,0,920,920,inf,0,False
47.015,True,False,OFFBOARD,0,940,940,inf,0,False
48.015,True,False,OFFBOARD,0,960,960,inf,0,False
49.015,True,False,OFFBOARD,0,980,980,inf,0,False
50.017,True,False,OFFBOARD,0,1000,1000,inf,0,False
51.016,True,False,OFFBOARD,0,1020,1020,inf,0,False
52.015,True,False,OFFBOARD,0,1040,1040,inf,0,False
53.015,True,False,OFFBOARD,0,1060,1060,inf,0,False
54.015,True,False,OFFBOARD,0,1080,1080,inf,0,False
55.015,True,False,OFFBOARD,0,1100,1100,inf,0,False
56.015,True,False,OFFBOARD,0,1120,1120,inf,0,False
57.015,True,False,OFFBOARD,0,1140,1140,inf,0,False
58.018,True,False,OFFBOARD,0,1160,1160,inf,0,False
59.015,True,False,OFFBOARD,0,1180,1180,inf,0,False
60.016,True,False,OFFBOARD,0,1200,1200,inf,0,False
61.015,True,False,OFFBOARD,0,1220,1220,inf,0,False
62.015,True,False,OFFBOARD,0,1240,1240,inf,0,False
63.015,True,False,OFFBOARD,0,1260,1260,inf,0,False
64.016,True,False,OFFBOARD,0,1280,1280,inf,0,False
65.015,True,False,OFFBOARD,0,1300,1300,inf,0,False
66.014,True,False,OFFBOARD,0,1320,1320,inf,0,False
67.015,True,False,OFFBOARD,0,1340,1340,inf,0,False
68.015,True,False,OFFBOARD,0,1360,1360,inf,0,False
