t_sec,connected,armed,mode,pose_count,planner_cmd_count,safe_cmd_count,nearest_obstacle_m,safety_event_count,goal_reached
1.017,False,False,,0,20,20,inf,0,False
2.018,False,False,,0,39,40,inf,0,False
3.017,True,False,CMODE(50593792),0,60,60,inf,0,False
4.017,True,True,OFFBOARD,0,80,80,inf,0,False
5.017,True,True,OFFBOARD,0,100,100,inf,0,False
6.019,True,True,OFFBOARD,0,120,120,inf,0,False
7.019,True,True,OFFBOARD,0,139,140,inf,0,False
8.017,True,True,OFFBOARD,0,160,160,inf,0,False
9.018,True,True,OFFBOARD,0,180,180,inf,0,False
10.018,True,True,OFFBOARD,0,199,200,inf,0,False
11.019,True,True,OFFBOARD,0,219,220,inf,0,False
12.019,True,True,OFFBOARD,0,240,240,inf,0,False
13.018,True,True,OFFBOARD,0,260,260,inf,0,False
14.017,True,False,OFFBOARD,0,280,280,inf,0,False
15.017,True,True,OFFBOARD,0,300,300,inf,0,False
16.017,True,True,OFFBOARD,0,320,320,inf,0,False
17.017,True,True,OFFBOARD,0,340,340,inf,0,False
18.018,True,True,OFFBOARD,0,360,360,inf,0,False
19.017,True,True,OFFBOARD,0,380,380,inf,0,False
20.017,True,True,OFFBOARD,0,399,400,inf,0,False
21.018,True,True,OFFBOARD,0,420,420,inf,0,False
22.017,True,True,OFFBOARD,0,440,440,inf,0,False
23.019,True,True,OFFBOARD,0,460,460,inf,0,False
24.017,True,True,OFFBOARD,0,480,480,inf,0,False
25.018,True,True,OFFBOARD,0,500,500,inf,0,False
26.017,True,False,OFFBOARD,0,519,520,inf,0,False
27.019,True,True,OFFBOARD,0,540,540,inf,0,False
28.017,True,True,OFFBOARD,0,560,560,inf,0,False
29.017,True,True,OFFBOARD,0,580,580,inf,0,False
30.017,True,True,OFFBOARD,0,600,600,inf,0,False
31.018,True,True,OFFBOARD,0,620,620,inf,0,False
32.017,True,True,OFFBOARD,0,640,640,inf,0,False
33.017,True,True,OFFBOARD,0,660,660,inf,0,False
34.017,True,True,OFFBOARD,0,680,680,inf,0,False
35.017,True,True,OFFBOARD,0,700,700,inf,0,False
36.017,True,True,OFFBOARD,0,720,720,inf,0,False
37.017,True,True,OFFBOARD,0,740,740,inf,0,False
38.017,True,False,OFFBOARD,0,760,760,inf,0,False
39.018,True,True,OFFBOARD,0,779,780,inf,0,False
40.024,True,True,OFFBOARD,0,799,800,inf,0,False
41.017,True,True,OFFBOARD,0,820,820,inf,0,False
42.017,True,True,OFFBOARD,0,840,840,inf,0,False
43.02,True,True,OFFBOARD,0,860,860,inf,0,False
44.018,True,True,OFFBOARD,0,879,880,inf,0,False
45.02,True,True,OFFBOARD,0,899,900,inf,0,False
46.017,True,True,OFFBOARD,0,920,920,inf,0,False
47.021,True,True,OFFBOARD,0,939,940,inf,0,False
48.02,True,True,OFFBOARD,0,960,960,inf,0,False
49.018,True,True,OFFBOARD,0,980,980,inf,0,False
50.017,True,True,OFFBOARD,0,1000,1000,inf,0,False
51.018,True,False,OFFBOARD,0,1020,1020,inf,0,False
52.017,True,True,OFFBOARD,0,1040,1040,inf,0,False
53.017,True,True,OFFBOARD,0,1060,1060,inf,0,False
54.017,True,True,OFFBOARD,0,1079,1080,inf,0,False
55.017,True,True,OFFBOARD,0,1099,1100,inf,0,False
56.017,True,True,OFFBOARD,0,1120,1120,inf,0,False
57.017,True,True,OFFBOARD,0,1139,1140,inf,0,False
58.018,True,True,OFFBOARD,0,1160,1160,inf,0,False
59.017,True,True,OFFBOARD,0,1180,1180,inf,0,False
60.017,True,True,OFFBOARD,0,1200,1200,inf,0,False
61.017,True,True,OFFBOARD,0,1219,1220,inf,0,False
62.017,True,True,OFFBOARD,0,1240,1240,inf,0,False
63.018,True,False,OFFBOARD,0,1260,1260,inf,0,False
64.018,True,True,OFFBOARD,0,1280,1280,inf,0,False
65.018,True,True,OFFBOARD,0,1300,1300,inf,0,False
66.018,True,True,OFFBOARD,0,1320,1320,inf,0,False
67.017,True,True,OFFBOARD,0,1339,1340,inf,0,False
68.018,True,True,OFFBOARD,0,1360,1360,inf,0,False
69.017,True,True,OFFBOARD,0,1380,1380,inf,0,False
70.018,True,True,OFFBOARD,0,1400,1400,inf,0,False
71.018,True,True,OFFBOARD,0,1420,1420,inf,0,False
72.017,True,True,OFFBOARD,0,1440,1440,inf,0,False
73.017,True,True,OFFBOARD,0,1460,1460,inf,0,False
74.018,True,True,OFFBOARD,0,1480,1480,inf,0,False
75.019,True,False,OFFBOARD,0,1499,1500,inf,0,False
76.017,True,True,OFFBOARD,0,1520,1520,inf,0,False
77.019,True,True,OFFBOARD,0,1539,1540,inf,0,False
78.02,True,True,OFFBOARD,0,1560,1560,inf,0,False
79.017,True,True,OFFBOARD,0,1580,1580,inf,0,False
80.018,True,True,OFFBOARD,0,1600,1600,inf,0,False
81.017,True,True,OFFBOARD,0,1620,1620,inf,0,False
82.017,True,True,OFFBOARD,0,1639,1640,inf,0,False
83.018,True,True,OFFBOARD,0,1659,1660,inf,0,False
84.017,True,True,OFFBOARD,0,1680,1680,inf,0,False
85.017,True,True,OFFBOARD,0,1700,1700,inf,0,False
86.017,True,False,OFFBOARD,0,1720,1720,inf,0,False
87.019,True,True,OFFBOARD,0,1740,1740,inf,0,False
88.017,True,True,OFFBOARD,0,1760,1760,inf,0,False
89.018,True,True,OFFBOARD,0,1779,1780,inf,0,False
90.017,True,True,OFFBOARD,0,1800,1800,inf,0,False
91.017,True,True,OFFBOARD,0,1820,1820,inf,0,False
92.017,True,True,OFFBOARD,0,1840,1840,inf,0,False
93.017,True,True,OFFBOARD,0,1860,1860,inf,0,False
94.017,True,True,OFFBOARD,0,1880,1880,inf,0,False
95.021,True,True,OFFBOARD,0,1899,1900,inf,0,False
96.017,True,True,OFFBOARD,0,1919,1920,inf,0,False
97.017,True,True,OFFBOARD,0,1940,1940,inf,0,False
98.018,True,False,OFFBOARD,0,1959,1960,inf,0,False
99.019,True,True,OFFBOARD,0,1980,1980,inf,0,False
100.017,True,True,OFFBOARD,0,1999,2000,inf,0,False
101.017,True,True,OFFBOARD,0,2020,2020,inf,0,False
102.017,True,True,OFFBOARD,0,2039,2040,inf,0,False
103.017,True,True,OFFBOARD,0,2060,2060,inf,0,False
104.017,True,True,OFFBOARD,0,2080,2080,inf,0,False
105.017,True,True,OFFBOARD,0,2099,2100,inf,0,False
106.019,True,True,OFFBOARD,0,2120,2120,inf,0,False
107.017,True,True,OFFBOARD,0,2140,2140,inf,0,False
108.017,True,True,OFFBOARD,0,2160,2160,inf,0,False
109.019,True,True,OFFBOARD,0,2180,2180,inf,0,False
110.017,True,False,OFFBOARD,0,2200,2200,inf,0,False
111.017,True,True,OFFBOARD,0,2220,2220,inf,0,False
112.017,True,True,OFFBOARD,0,2239,2240,inf,0,False
113.017,True,True,OFFBOARD,0,2260,2260,inf,0,False
114.017,True,True,OFFBOARD,0,2280,2280,inf,0,False
115.018,True,True,OFFBOARD,0,2300,2300,inf,0,False
116.017,True,True,OFFBOARD,0,2320,2320,inf,0,False
117.018,True,True,OFFBOARD,0,2340,2340,inf,0,False
118.021,True,True,OFFBOARD,0,2360,2360,inf,0,False
119.018,True,True,OFFBOARD,0,2380,2380,inf,0,False
120.018,True,True,OFFBOARD,0,2399,2400,inf,0,False
121.018,True,False,OFFBOARD,0,2420,2420,inf,0,False
122.018,True,True,OFFBOARD,0,2440,2440,inf,0,False
123.018,True,True,OFFBOARD,0,2460,2460,inf,0,False
124.022,True,True,OFFBOARD,0,2479,2480,inf,0,False
125.019,True,True,OFFBOARD,0,2499,2500,inf,0,False
126.017,True,True,OFFBOARD,0,2519,2520,inf,0,False
