t_sec,connected,armed,mode,pose_count,planner_cmd_count,safe_cmd_count,nearest_obstacle_m,safety_event_count,goal_reached
1.015,True,False,CMODE(50593792),0,20,20,inf,0,False
2.015,True,False,OFFBOARD,0,40,40,inf,0,False
3.015,True,False,OFFBOARD,0,60,60,inf,0,False
4.015,True,False,OFFBOARD,0,80,80,inf,0,False
5.015,True,False,OFFBOARD,0,100,100,inf,0,False
6.015,True,False,OFFBOARD,0,120,120,inf,0,False
7.015,True,False,OFFBOARD,0,140,140,inf,0,False
8.018,True,False,OFFBOARD,0,160,159,inf,0,False
9.015,True,False,OFFBOARD,0,180,180,inf,0,False
10.015,True,False,OFFBOARD,0,200,200,inf,0,False
11.016,True,False,OFFBOARD,0,220,220,inf,0,False
12.016,True,True,OFFBOARD,0,240,240,inf,0,False
13.015,True,True,OFFBOARD,0,260,260,inf,0,False
14.015,True,True,OFFBOARD,0,280,280,inf,0,False
15.016,True,True,OFFBOARD,0,300,300,inf,0,False
16.016,True,True,OFFBOARD,0,320,320,inf,0,False
17.015,True,True,OFFBOARD,0,340,340,inf,0,False
18.015,True,True,OFFBOARD,0,360,360,inf,0,False
19.016,True,True,OFFBOARD,0,380,380,inf,0,False
20.017,True,True,OFFBOARD,0,400,400,inf,0,False
21.015,True,True,OFFBOARD,0,420,420,inf,0,False
22.015,True,False,OFFBOARD,0,440,440,inf,0,False
23.015,True,True,OFFBOARD,0,460,460,inf,0,False
24.017,True,True,OFFBOARD,0,480,480,inf,0,False
25.015,True,True,OFFBOARD,0,500,500,inf,0,False
26.015,True,True,OFFBOARD,0,520,519,inf,0,False
27.016,True,True,OFFBOARD,0,540,540,inf,0,False
28.015,True,True,OFFBOARD,0,560,560,inf,0,False
29.015,True,True,OFFBOARD,0,580,580,inf,0,False
30.015,True,True,OFFBOARD,0,600,600,inf,0,False
31.015,True,True,OFFBOARD,0,620,620,inf,0,False
32.019,True,True,OFFBOARD,0,640,639,inf,0,False
33.015,True,True,OFFBOARD,0,660,660,inf,0,False
34.016,True,False,OFFBOARD,0,680,680,inf,0,False
35.015,True,True,OFFBOARD,0,700,700,inf,0,False
36.015,True,True,OFFBOARD,0,720,720,inf,0,False
37.015,True,True,OFFBOARD,0,740,740,inf,0,False
38.015,True,True,OFFBOARD,0,760,760,inf,0,False
39.015,True,True,OFFBOARD,0,780,780,inf,0,False
40.015,True,True,OFFBOARD,0,800,800,inf,0,False
41.015,True,True,OFFBOARD,0,820,820,inf,0,False
42.015,True,True,OFFBOARD,0,840,840,inf,0,False
43.015,True,True,OFFBOARD,0,860,860,inf,0,False
44.015,True,True,OFFBOARD,0,880,880,inf,0,False
45.015,True,True,OFFBOARD,0,900,900,inf,0,False
46.015,True,False,OFFBOARD,0,920,920,inf,0,False
47.015,True,True,OFFBOARD,0,940,940,inf,0,False
48.015,True,True,OFFBOARD,0,960,959,inf,0,False
49.015,True,True,OFFBOARD,0,980,980,inf,0,False
50.015,True,True,OFFBOARD,0,1000,1000,inf,0,False
51.015,True,True,OFFBOARD,0,1020,1020,inf,0,False
52.015,True,True,OFFBOARD,0,1040,1040,inf,0,False
53.015,True,True,OFFBOARD,0,1060,1060,inf,0,False
54.015,True,True,OFFBOARD,0,1080,1080,inf,0,False
55.015,True,True,OFFBOARD,0,1100,1100,inf,0,False
56.015,True,True,OFFBOARD,0,1120,1119,inf,0,False
57.015,True,False,OFFBOARD,0,1140,1140,inf,0,False
58.015,True,True,OFFBOARD,0,1160,1160,inf,0,False
59.015,True,True,OFFBOARD,0,1180,1180,inf,0,False
60.015,True,True,OFFBOARD,0,1200,1200,inf,0,False
61.015,True,True,OFFBOARD,0,1220,1220,inf,0,False
62.015,True,True,OFFBOARD,0,1240,1240,inf,0,False
63.015,True,True,OFFBOARD,0,1260,1260,inf,0,False
64.015,True,True,OFFBOARD,0,1280,1280,inf,0,False
65.015,True,True,OFFBOARD,0,1300,1300,inf,0,False
66.015,True,True,OFFBOARD,0,1320,1320,inf,0,False
67.015,True,True,OFFBOARD,0,1340,1340,inf,0,False
68.015,True,False,OFFBOARD,0,1360,1360,inf,0,False
69.015,True,True,OFFBOARD,0,1380,1380,inf,0,False
70.015,True,True,OFFBOARD,0,1400,1400,inf,0,False
71.015,True,True,OFFBOARD,0,1420,1420,inf,0,False
72.016,True,True,OFFBOARD,0,1440,1440,inf,0,False
73.015,True,True,OFFBOARD,0,1460,1460,inf,0,False
74.015,True,True,OFFBOARD,0,1480,1480,inf,0,False
75.016,True,True,OFFBOARD,0,1500,1500,inf,0,False
76.015,True,True,OFFBOARD,0,1520,1520,inf,0,False
77.015,True,True,OFFBOARD,0,1540,1540,inf,0,False
78.015,True,True,OFFBOARD,0,1560,1560,inf,0,False
79.015,True,True,OFFBOARD,0,1580,1580,inf,0,False
80.015,True,False,OFFBOARD,0,1600,1600,inf,0,False
81.015,True,True,OFFBOARD,0,1620,1620,inf,0,False
82.015,True,True,OFFBOARD,0,1640,1640,inf,0,False
83.015,True,True,OFFBOARD,0,1660,1660,inf,0,False
84.016,True,True,OFFBOARD,0,1680,1679,inf,0,False
85.016,True,True,OFFBOARD,0,1700,1699,inf,0,False
