t_sec,connected,armed,mode,pose_count,planner_cmd_count,safe_cmd_count,nearest_obstacle_m,safety_event_count,goal_reached
805.011,True,False,OFFBOARD,0,16100,16100,inf,0,False
806.011,True,False,OFFBOARD,0,16120,16120,inf,0,False
807.011,True,False,OFFBOARD,0,16140,16140,inf,0,False
808.01,True,False,OFFBOARD,0,16160,16160,inf,0,False
809.011,True,False,OFFBOARD,0,16180,16180,inf,0,False
810.01,True,False,OFFBOARD,0,16200,16200,inf,0,False
811.011,True,False,OFFBOARD,0,16220,16220,inf,0,False
812.011,True,False,OFFBOARD,0,16240,16240,inf,0,False
813.011,True,False,OFFBOARD,0,16260,16260,inf,0,False
814.01,True,False,OFFBOARD,0,16280,16280,inf,0,False
815.011,True,False,OFFBOARD,0,16300,16300,inf,0,False
816.011,True,False,OFFBOARD,0,16320,16320,inf,0,False
817.011,True,False,OFFBOARD,0,16340,16340,inf,0,False
818.011,True,False,OFFBOARD,0,16360,16360,inf,0,False
819.011,True,False,OFFBOARD,0,16380,16380,inf,0,False
820.011,True,False,OFFBOARD,0,16400,16400,inf,0,False
821.011,True,False,OFFBOARD,0,16420,16420,inf,0,False
822.011,True,False,OFFBOARD,0,16440,16440,inf,0,False
823.011,True,False,OFFBOARD,0,16460,16460,inf,0,False
824.011,True,False,OFFBOARD,0,16480,16480,inf,0,False
825.012,True,False,OFFBOARD,0,16500,16500,inf,0,False
826.011,True,False,OFFBOARD,0,16520,16520,inf,0,False
827.011,True,False,OFFBOARD,0,16540,16540,inf,0,False
828.011,True,False,OFFBOARD,0,16560,16560,inf,0,False
829.011,True,False,OFFBOARD,0,16580,16580,inf,0,False
830.011,True,False,OFFBOARD,0,16600,16600,inf,0,False
831.011,True,False,OFFBOARD,0,16620,16620,inf,0,False
832.011,True,False,OFFBOARD,0,16640,16640,inf,0,False
833.012,True,False,OFFBOARD,0,16660,16660,inf,0,False
834.011,True,False,OFFBOARD,0,16680,16680,inf,0,False
835.012,True,False,OFFBOARD,0,16700,16700,inf,0,False
836.011,True,False,OFFBOARD,0,16720,16720,inf,0,False
837.012,True,False,OFFBOARD,0,16740,16740,inf,0,False
838.011,True,False,OFFBOARD,0,16760,16760,inf,0,False
839.011,True,False,OFFBOARD,0,16780,16780,inf,0,False
840.011,True,False,OFFBOARD,0,16800,16800,inf,0,False
841.011,True,False,OFFBOARD,0,16820,16820,inf,0,False
842.011,True,False,OFFBOARD,0,16840,16840,inf,0,False
843.01,True,False,OFFBOARD,0,16860,16860,inf,0,False
844.011,True,False,OFFBOARD,0,16880,16880,inf,0,False
845.011,True,False,OFFBOARD,0,16900,16900,inf,0,False
846.011,True,False,OFFBOARD,0,16920,16920,inf,0,False
847.011,True,False,OFFBOARD,0,16940,16940,inf,0,False
848.011,True,False,OFFBOARD,0,16960,16960,inf,0,False
849.011,True,False,OFFBOARD,0,16980,16980,inf,0,False
850.011,True,False,OFFBOARD,0,17000,17000,inf,0,False
851.011,True,False,OFFBOARD,0,17020,17020,inf,0,False
852.01,True,False,OFFBOARD,0,17040,17040,inf,0,False
853.01,True,False,OFFBOARD,0,17060,17060,inf,0,False
854.011,True,False,OFFBOARD,0,17080,17080,inf,0,False
855.011,True,False,OFFBOARD,0,17100,17100,inf,0,False
856.011,True,False,OFFBOARD,0,17120,17120,inf,0,False
857.011,True,False,OFFBOARD,0,17140,17140,inf,0,False
858.011,True,False,OFFBOARD,0,17160,17160,inf,0,False
859.011,True,False,OFFBOARD,0,17180,17180,inf,0,False
860.011,True,False,OFFBOARD,0,17200,17200,inf,0,False
861.011,True,False,OFFBOARD,0,17220,17220,inf,0,False
862.013,True,False,OFFBOARD,0,17240,17240,inf,0,False
863.011,True,False,OFFBOARD,0,17260,17260,inf,0,False
864.011,True,False,OFFBOARD,0,17280,17280,inf,0,False
865.011,True,False,OFFBOARD,0,17300,17300,inf,0,False
866.011,True,False,OFFBOARD,0,17320,17320,inf,0,False
867.011,True,False,OFFBOARD,0,17340,17340,inf,0,False
868.011,True,False,OFFBOARD,0,17360,17360,inf,0,False
869.011,True,False,OFFBOARD,0,17380,17380,inf,0,False
870.011,True,False,OFFBOARD,0,17400,17400,inf,0,False
871.01,True,False,OFFBOARD,0,17420,17420,inf,0,False
872.013,True,False,OFFBOARD,0,17440,17440,inf,0,False
873.011,True,False,OFFBOARD,0,17460,17460,inf,0,False
874.011,True,False,OFFBOARD,0,17480,17480,inf,0,False
875.011,True,False,OFFBOARD,0,17500,17500,inf,0,False
876.011,True,False,OFFBOARD,0,17520,17520,inf,0,False
877.012,True,False,OFFBOARD,0,17540,17540,inf,0,False
878.011,True,False,OFFBOARD,0,17560,17560,inf,0,False
879.012,True,False,OFFBOARD,0,17580,17580,inf,0,False
880.013,True,False,OFFBOARD,0,17600,17600,inf,0,False
881.011,True,False,OFFBOARD,0,17620,17620,inf,0,False
882.013,True,False,OFFBOARD,0,17640,17640,inf,0,False
883.011,True,False,OFFBOARD,0,17660,17660,inf,0,False
884.011,True,False,OFFBOARD,0,17680,17680,inf,0,False
885.011,True,False,OFFBOARD,0,17700,17700,inf,0,False
886.011,True,False,OFFBOARD,0,17720,17720,inf,0,False
887.011,True,False,OFFBOARD,0,17740,17740,inf,0,False
888.011,True,False,OFFBOARD,0,17760,17760,inf,0,False
889.01,True,False,OFFBOARD,0,17780,17780,inf,0,False
890.011,True,False,OFFBOARD,0,17800,17800,inf,0,False
891.011,True,False,OFFBOARD,0,17820,17820,inf,0,False
892.011,True,False,OFFBOARD,0,17840,17840,inf,0,False
893.011,True,False,OFFBOARD,0,17860,17860,inf,0,False
894.011,True,False,OFFBOARD,0,17880,17880,inf,0,False
895.011,True,False,OFFBOARD,0,17900,17900,inf,0,False
896.011,True,False,OFFBOARD,0,17920,17920,inf,0,False
897.011,True,False,OFFBOARD,0,17940,17940,inf,0,False
898.012,True,False,OFFBOARD,0,17960,17960,inf,0,False
899.011,True,False,OFFBOARD,0,17980,17980,inf,0,False
900.012,True,False,OFFBOARD,0,18000,18000,inf,0,False
901.012,True,False,OFFBOARD,0,18020,18020,inf,0,False
902.011,True,False,OFFBOARD,0,18040,18040,inf,0,False
903.011,True,False,OFFBOARD,0,18060,18060,inf,0,False
904.011,True,False,OFFBOARD,0,18080,18080,inf,0,False
905.011,True,False,OFFBOARD,0,18100,18100,inf,0,False
906.012,True,False,OFFBOARD,0,18120,18120,inf,0,False
907.011,True,False,OFFBOARD,0,18140,18140,inf,0,False
908.011,True,False,OFFBOARD,0,18160,18160,inf,0,False
909.011,True,False,OFFBOARD,0,18180,18180,inf,0,False
910.012,True,False,OFFBOARD,0,18200,18200,inf,0,False
911.011,True,False,OFFBOARD,0,18220,18220,inf,0,False
912.011,True,False,OFFBOARD,0,18240,18240,inf,0,False
913.017,True,False,OFFBOARD,0,18260,18260,inf,0,False
914.013,True,False,OFFBOARD,0,18280,18280,inf,0,False
915.011,True,False,OFFBOARD,0,18300,18300,inf,0,False
916.011,True,False,OFFBOARD,0,18320,18320,inf,0,False
917.012,True,False,OFFBOARD,0,18340,18340,inf,0,False
918.011,True,False,OFFBOARD,0,18360,18360,inf,0,False
919.016,True,False,OFFBOARD,0,18380,18380,inf,0,False
920.011,True,False,OFFBOARD,0,18400,18400,inf,0,False
921.011,True,False,OFFBOARD,0,18420,18420,inf,0,False
922.01,True,False,OFFBOARD,0,18440,18440,inf,0,False
923.011,True,False,OFFBOARD,0,18460,18460,inf,0,False
924.011,True,False,OFFBOARD,0,18480,18480,inf,0,False
925.012,True,False,OFFBOARD,0,18500,18500,inf,0,False
926.012,True,False,OFFBOARD,0,18520,18520,inf,0,False
927.011,True,False,OFFBOARD,0,18540,18540,inf,0,False
928.011,True,False,OFFBOARD,0,18560,18560,inf,0,False
929.011,True,False,OFFBOARD,0,18580,18580,inf,0,False
930.011,True,False,OFFBOARD,0,18600,18600,inf,0,False
931.01,True,False,OFFBOARD,0,18620,18620,inf,0,False
932.014,True,False,OFFBOARD,0,18640,18640,inf,0,False
933.011,True,False,OFFBOARD,0,18660,18660,inf,0,False
934.013,True,False,OFFBOARD,0,18680,18680,inf,0,False
935.011,True,False,OFFBOARD,0,18700,18700,inf,0,False
936.011,True,False,OFFBOARD,0,18720,18720,inf,0,False
937.011,True,False,OFFBOARD,0,18740,18740,inf,0,False
938.012,True,False,OFFBOARD,0,18760,18760,inf,0,False
939.011,True,False,OFFBOARD,0,18780,18780,inf,0,False
940.011,True,False,OFFBOARD,0,18800,18800,inf,0,False
941.011,True,False,OFFBOARD,0,18820,18820,inf,0,False
942.011,True,False,OFFBOARD,0,18840,18840,inf,0,False
943.011,True,False,OFFBOARD,0,18860,18860,inf,0,False
944.011,True,False,OFFBOARD,0,18880,18880,inf,0,False
945.011,True,False,OFFBOARD,0,18900,18900,inf,0,False
946.011,True,False,OFFBOARD,0,18920,18920,inf,0,False
947.011,True,False,OFFBOARD,0,18940,18940,inf,0,False
948.011,True,False,OFFBOARD,0,18960,18960,inf,0,False
949.013,True,False,OFFBOARD,0,18980,18980,inf,0,False
950.011,True,False,OFFBOARD,0,19000,19000,inf,0,False
951.011,True,False,OFFBOARD,0,19020,19020,inf,0,False
952.011,True,False,OFFBOARD,0,19040,19040,inf,0,False
953.011,True,False,OFFBOARD,0,19060,19060,inf,0,False
954.011,True,False,OFFBOARD,0,19080,19080,inf,0,False
955.011,True,False,OFFBOARD,0,19100,19100,inf,0,False
956.011,True,False,OFFBOARD,0,19120,19120,inf,0,False
957.011,True,False,OFFBOARD,0,19140,19140,inf,0,False
958.011,True,False,OFFBOARD,0,19160,19160,inf,0,False
959.011,True,False,OFFBOARD,0,19180,19180,inf,0,False
960.012,True,False,OFFBOARD,0,19200,19200,inf,0,False
961.011,True,False,OFFBOARD,0,19220,19220,inf,0,False
962.013,True,False,OFFBOARD,0,19240,19240,inf,0,False
963.011,True,False,OFFBOARD,0,19260,19260,inf,0,False
964.011,True,False,OFFBOARD,0,19280,19280,inf,0,False
965.011,True,False,OFFBOARD,0,19300,19300,inf,0,False
966.011,True,False,OFFBOARD,0,19320,19320,inf,0,False
967.01,True,False,OFFBOARD,0,19340,19340,inf,0,False
968.011,True,False,OFFBOARD,0,19360,19360,inf,0,False
969.014,True,False,OFFBOARD,0,19380,19380,inf,0,False
970.013,True,False,OFFBOARD,0,19400,19400,inf,0,False
971.014,True,False,OFFBOARD,0,19420,19420,inf,0,False
972.011,True,False,OFFBOARD,0,19440,19440,inf,0,False
973.011,True,False,OFFBOARD,0,19460,19460,inf,0,False
974.01,True,False,OFFBOARD,0,19480,19480,inf,0,False
975.012,True,False,OFFBOARD,0,19500,19500,inf,0,False
976.011,True,False,OFFBOARD,0,19520,19520,inf,0,False
977.011,True,False,OFFBOARD,0,19540,19540,inf,0,False
978.014,True,False,OFFBOARD,0,19560,19560,inf,0,False
979.012,True,False,OFFBOARD,0,19580,19580,inf,0,False
980.011,True,False,OFFBOARD,0,19600,19600,inf,0,False
981.011,True,False,OFFBOARD,0,19620,19620,inf,0,False
982.011,True,False,OFFBOARD,0,19640,19640,inf,0,False
983.011,True,False,OFFBOARD,0,19660,19660,inf,0,False
984.011,True,False,OFFBOARD,0,19680,19680,inf,0,False
985.011,True,False,OFFBOARD,0,19700,19700,inf,0,False
986.011,True,False,OFFBOARD,0,19720,19720,inf,0,False
987.011,True,False,OFFBOARD,0,19740,19740,inf,0,False
988.011,True,False,OFFBOARD,0,19760,19760,inf,0,False
989.011,True,False,OFFBOARD,0,19780,19780,inf,0,False
990.011,True,False,OFFBOARD,0,19800,19800,inf,0,False
991.014,True,False,OFFBOARD,0,19820,19820,inf,0,False
992.011,True,False,OFFBOARD,0,19840,19840,inf,0,False
993.011,True,False,OFFBOARD,0,19860,19860,inf,0,False
994.011,True,False,OFFBOARD,0,19880,19880,inf,0,False
995.016,True,False,OFFBOARD,0,19900,19900,inf,0,False
996.011,True,False,OFFBOARD,0,19920,19920,inf,0,False
997.012,True,False,OFFBOARD,0,19940,19940,inf,0,False
998.011,True,False,OFFBOARD,0,19960,19960,inf,0,False
999.01,True,False,OFFBOARD,0,19980,19980,inf,0,False
1000.011,True,False,OFFBOARD,0,20000,20000,inf,0,False
1001.011,True,False,OFFBOARD,0,20020,20020,inf,0,False
1002.012,True,False,OFFBOARD,0,20040,20040,inf,0,False
1003.011,True,False,OFFBOARD,0,20060,20060,inf,0,False
1004.011,True,False,OFFBOARD,0,20080,20080,inf,0,False
1005.011,True,False,OFFBOARD,0,20100,20100,inf,0,False
1006.014,True,False,OFFBOARD,0,20120,20120,inf,0,False
1007.011,True,False,OFFBOARD,0,20140,20140,inf,0,False
1008.011,True,False,OFFBOARD,0,20160,20160,inf,0,False
1009.011,True,False,OFFBOARD,0,20180,20180,inf,0,False
1010.011,True,False,OFFBOARD,0,20200,20200,inf,0,False
1011.011,True,False,OFFBOARD,0,20220,20220,inf,0,False
1012.011,True,False,OFFBOARD,0,20240,20240,inf,0,False
1013.011,True,False,OFFBOARD,0,20260,20260,inf,0,False
1014.011,True,False,OFFBOARD,0,20280,20280,inf,0,False
1015.011,True,False,OFFBOARD,0,20300,20300,inf,0,False
1016.013,True,False,OFFBOARD,0,20320,20320,inf,0,False
1017.011,True,False,OFFBOARD,0,20340,20340,inf,0,False
1018.012,True,False,OFFBOARD,0,20360,20360,inf,0,False
1019.011,True,False,OFFBOARD,0,20380,20380,inf,0,False
1020.014,True,False,OFFBOARD,0,20400,20400,inf,0,False
1021.013,True,False,OFFBOARD,0,20420,20420,inf,0,False
1022.011,True,False,OFFBOARD,0,20440,20440,inf,0,False
1023.014,True,False,OFFBOARD,0,20460,20460,inf,0,False
1024.011,True,False,OFFBOARD,0,20480,20480,inf,0,False
1025.011,True,False,OFFBOARD,0,20500,20500,inf,0,False
1026.01,True,False,OFFBOARD,0,20520,20520,inf,0,False
1027.011,True,False,OFFBOARD,0,20540,20540,inf,0,False
1028.011,True,False,OFFBOARD,0,20560,20560,inf,0,False
1029.011,True,False,OFFBOARD,0,20580,20580,inf,0,False
1030.01,True,False,OFFBOARD,0,20600,20600,inf,0,False
1031.011,True,False,OFFBOARD,0,20620,20620,inf,0,False
1032.014,True,False,OFFBOARD,0,20640,20640,inf,0,False
1033.011,True,False,OFFBOARD,0,20660,20660,inf,0,False
1034.017,True,False,OFFBOARD,0,20680,20680,inf,0,False
1035.01,True,False,OFFBOARD,0,20700,20700,inf,0,False
1036.011,True,False,OFFBOARD,0,20720,20720,inf,0,False
1037.011,True,False,OFFBOARD,0,20740,20740,inf,0,False
1038.013,True,False,OFFBOARD,0,20760,20760,inf,0,False
1039.011,True,False,OFFBOARD,0,20780,20780,inf,0,False
1040.011,True,False,OFFBOARD,0,20800,20800,inf,0,False
1041.013,True,False,OFFBOARD,0,20820,20820,inf,0,False
1042.011,True,False,OFFBOARD,0,20840,20840,inf,0,False
1043.01,True,False,OFFBOARD,0,20860,20860,inf,0,False
1044.011,True,False,OFFBOARD,0,20880,20880,inf,0,False
1045.011,True,False,OFFBOARD,0,20900,20900,inf,0,False
1046.011,True,False,OFFBOARD,0,20920,20920,inf,0,False
1047.011,True,False,OFFBOARD,0,20940,20940,inf,0,False
1048.011,True,False,OFFBOARD,0,20960,20960,inf,0,False
1049.011,True,False,OFFBOARD,0,20980,20980,inf,0,False
1050.011,True,False,OFFBOARD,0,21000,21000,inf,0,False
1051.011,True,False,OFFBOARD,0,21020,21020,inf,0,False
1052.011,True,False,OFFBOARD,0,21040,21040,inf,0,False
1053.011,True,False,OFFBOARD,0,21060,21060,inf,0,False
1054.01,True,False,OFFBOARD,0,21080,21080,inf,0,False
1055.011,True,False,OFFBOARD,0,21100,21100,inf,0,False
1056.012,True,False,OFFBOARD,0,21120,21120,inf,0,False
1057.011,True,False,OFFBOARD,0,21140,21140,inf,0,False
1058.011,True,False,OFFBOARD,0,21160,21160,inf,0,False
1059.011,True,False,OFFBOARD,0,21180,21180,inf,0,False
1060.011,True,False,OFFBOARD,0,21200,21200,inf,0,False
1061.011,True,False,OFFBOARD,0,21220,21220,inf,0,False
1062.011,True,False,OFFBOARD,0,21240,21240,inf,0,False
1063.013,True,False,OFFBOARD,0,21260,21260,inf,0,False
1064.011,True,False,OFFBOARD,0,21280,21280,inf,0,False
1065.011,True,False,OFFBOARD,0,21300,21300,inf,0,False
1066.01,True,False,OFFBOARD,0,21320,21320,inf,0,False
1067.011,True,False,OFFBOARD,0,21340,21340,inf,0,False
1068.011,True,False,OFFBOARD,0,21360,21360,inf,0,False
1069.01,True,False,OFFBOARD,0,21380,21380,inf,0,False
1070.011,True,False,OFFBOARD,0,21400,21400,inf,0,False
1071.011,True,False,OFFBOARD,0,21420,21420,inf,0,False
1072.011,True,False,OFFBOARD,0,21440,21440,inf,0,False
1073.01,True,False,OFFBOARD,0,21460,21460,inf,0,False
1074.012,True,False,OFFBOARD,0,21480,21480,inf,0,False
1075.011,True,False,OFFBOARD,0,21500,21500,inf,0,False
1076.011,True,False,OFFBOARD,0,21520,21520,inf,0,False
1077.011,True,False,OFFBOARD,0,21540,21540,inf,0,False
1078.012,True,False,OFFBOARD,0,21560,21560,inf,0,False
1079.011,True,False,OFFBOARD,0,21580,21580,inf,0,False
1080.012,True,False,OFFBOARD,0,21600,21600,inf,0,False
1081.01,True,False,OFFBOARD,0,21620,21620,inf,0,False
1082.012,True,False,OFFBOARD,0,21640,21640,inf,0,False
1083.011,True,False,OFFBOARD,0,21660,21660,inf,0,False
1084.011,True,False,OFFBOARD,0,21680,21680,inf,0,False
1085.011,True,False,OFFBOARD,0,21700,21700,inf,0,False
1086.011,True,False,OFFBOARD,0,21720,21720,inf,0,False
1087.011,True,False,OFFBOARD,0,21740,21740,inf,0,False
1088.011,True,False,OFFBOARD,0,21760,21760,inf,0,False
1089.013,True,False,OFFBOARD,0,21780,21780,inf,0,False
1090.011,True,False,OFFBOARD,0,21800,21800,inf,0,False
1091.011,True,False,OFFBOARD,0,21820,21820,inf,0,False
1092.011,True,False,OFFBOARD,0,21840,21840,inf,0,False
1093.011,True,False,OFFBOARD,0,21860,21860,inf,0,False
1094.011,True,False,OFFBOARD,0,21880,21880,inf,0,False
1095.014,True,False,OFFBOARD,0,21900,21900,inf,0,False
1096.011,True,False,OFFBOARD,0,21920,21920,inf,0,False
1097.011,True,False,OFFBOARD,0,21940,21940,inf,0,False
1098.01,True,False,OFFBOARD,0,21960,21960,inf,0,False
1099.012,True,False,OFFBOARD,0,21980,21980,inf,0,False
1100.01,True,False,OFFBOARD,0,22000,22000,inf,0,False
1101.012,True,False,OFFBOARD,0,22020,22020,inf,0,False
1102.011,True,False,OFFBOARD,0,22040,22040,inf,0,False
1103.011,True,False,OFFBOARD,0,22060,22060,inf,0,False
1104.013,True,False,OFFBOARD,0,22080,22080,inf,0,False
1105.011,True,False,OFFBOARD,0,22100,22100,inf,0,False
1106.011,True,False,OFFBOARD,0,22120,22120,inf,0,False
1107.015,True,False,OFFBOARD,0,22140,22140,inf,0,False
1108.013,True,False,OFFBOARD,0,22160,22160,inf,0,False
1109.012,True,False,OFFBOARD,0,22180,22180,inf,0,False
1110.013,True,False,OFFBOARD,0,22200,22200,inf,0,False
1111.011,True,False,OFFBOARD,0,22220,22220,inf,0,False
1112.011,True,False,OFFBOARD,0,22240,22240,inf,0,False
1113.011,True,False,OFFBOARD,0,22260,22260,inf,0,False
1114.013,True,False,OFFBOARD,0,22280,22280,inf,0,False
1115.011,True,False,OFFBOARD,0,22300,22300,inf,0,False
1116.011,True,False,OFFBOARD,0,22320,22320,inf,0,False
1117.011,True,False,OFFBOARD,0,22340,22340,inf,0,False
1118.011,True,False,OFFBOARD,0,22360,22360,inf,0,False
1119.011,True,False,OFFBOARD,0,22380,22380,inf,0,False
1120.011,True,False,OFFBOARD,0,22400,22400,inf,0,False
1121.012,True,False,OFFBOARD,0,22420,22420,inf,0,False
1122.011,True,False,OFFBOARD,0,22440,22440,inf,0,False
1123.011,True,False,OFFBOARD,0,22460,22460,inf,0,False
1124.01,True,False,OFFBOARD,0,22480,22480,inf,0,False
1125.011,True,False,OFFBOARD,0,22500,22500,inf,0,False
1126.011,True,False,OFFBOARD,0,22520,22520,inf,0,False
1127.014,True,False,OFFBOARD,0,22540,22540,inf,0,False
1128.011,True,False,OFFBOARD,0,22560,22560,inf,0,False
1129.011,True,False,OFFBOARD,0,22580,22580,inf,0,False
1130.011,True,False,OFFBOARD,0,22600,22600,inf,0,False
1131.011,True,False,OFFBOARD,0,22620,22620,inf,0,False
1132.011,True,False,OFFBOARD,0,22640,22640,inf,0,False
1133.011,True,False,OFFBOARD,0,22660,22660,inf,0,False
